year,humanMass,plasticMass,notes
1948,548,842,"The iconic Eames' armchair is injection moulded for the first time. This armchair is from Charles and Ray Eames's legendary Plastic Shell Group, which was without doubt the most revolutionary seating programme of all time. The Eameses developed their Plastic Shell Group in collaboration with Herman Miller, Zenith Plastics, and the engineering department of the University of California, Los Angeles. This project was based on the concept of a universal, single-form seat shell (with arms and without) that could be used with a variety of interchangeable bases to provide numerous variations. Introduced by Herman Miller in 1950, this seating group - including the DAW - is amongst the most influential in the history of furniture, not only because it was the very first to be mass-produced in plastic but also because it introduced the concept of an integrated seating system."
1949,560,881,
1950,572,922,
1951,584,964,
1952,596,1008,"The Bic Ballpoint Pen: Marcel Bich, a French industrialist who had deep knowledge of the pen industry, bought out Biro’s patent in the early 1950s, a move that proved brilliant, because Bich’s company, Bic, was masterful at producing disposable devices at an incredibly low price point. More than any other company or device, Bic’s Cristal pen came to define the pen as an easily replaceable commodity, meaning that if there was a problem with the pen you were using, it was simply easier to get a hold of another pen than it would be to fix the pen that wasn’t working."
1953,608,1054,"In August 1955, LIFE magazine published an article with the now-vaguely-sinister, then-celebratory title, ""Throwaway Living."""
1954,620,1102,
1955,632,1152,Italian firm Montecatini begin large-scale commercial production of isotactic polypropylene.
1956,644,1204,
1957,656,1258,"First plastic credit card: American Express charge card, which required payments in full at the end of the month. PVC plastic soon replaced the cardboard or thin, paperlike celluloid used in its contemporaries."
1958,668,1314,High-density polyethylene bottles introduced and begin to replace glass bottles in most applications
1959,680,1372,
1960,692,1433,
1961,704,1496,Disposible razor and cartridge razor was invented by American entertainer and inventor Paul Winchell
1962,716,1562,
1963,728,1631,"1965 – Chemist Stephanie Kwolek develops light, extremely resistive and durable plastic compound that is today known under the name of Kevlar. Today, this plastic is used by military and police in bullet resistive protective wear."
1964,740,1703,
1965,752,1778,"In The Graduate, one of the top movies of 1968, Dustin Hoffman’s character was urged by an older acquaintance to make a career in plastics. Audiences cringed along with Hoffman at what they saw as misplaced enthusiasm for an industry that, rather than being full of possibilities, was a symbol of cheap conformity and superficiality."
1966,765,1856,
1967,778,1938,
1968,791,2023,"Bic brings lighters and razors to its' lineup of ultra-cheap, disposable alternatives to expensive products."
1969,804,2112,"An organization called Pollution Probe was formed in 1969 by students and faculty at the University of Toronto and in 1971, members published a report stressing the need for recycling"
1970,817,2205,
1971,830,2302,The PET (Polyethylene Terephthalate) bottle was created.
1972,843,2403,
1973,856,2509,"Rubik's cube invented and patented in Hungary. Erno Rubik, a Hungarian architect, wanted a working model to help explain three-dimensional geometry."
1974,869,2620,
1975,882,2736,"Is Five organized Canada’s first multi-material curbside pickup of recyclable material for 80,000 households of The Beaches neighbourhood of east Toronto. In 1977, Jack McGinnis and Derek Stephenson created a private consulting company, Resource Integration Systems (RIS) to advise governments in the field of recycling and waste management."
1976,895,2857,"Recyclable bottles: Coca‑Cola introduced the world to the two litre PET plastic bottle. It became popular for a lot of reasons: it doesn't break; it's re-sealable, lightweight and recyclable."
1977,908,2983,
1978,921,3115,Polyester film stock replaces cellulose acetate for photographic film and computer tapes.
1979,934,3253,
1980,947,3398,"The Dixie Bag Company, along with similar firms such as Houston Poly Bag and Capitol Poly, was instrumental in the manufacturing, marketing and perfecting of plastic bags in the 1980s. Kroger, a Cincinnati-based grocery chain, began to replace its paper shopping bags with plastic bags in 1982,[7] and was soon followed by its rival, Safeway.[7]"
1981,960,3549,
1982,973,3708,
1983,986,3874,
1984,999,4048,
1985,1012,4230,"A barge of trash from NYC takes an Atlantic Cruise, getting turned away by North Carolina, Belize, Bahamas and 5 other states before returning to Brooklyn. Harrelson refused to say how much the Mobro's 6,000-mile voyage to nowhere had cost him. The price tag was believed to be nearly $1 million. The press focused America's attention on the growing national problem of solid waste management, encouraged an expansion of recycling programs and brought pressure on Congress to the pass the 1990 Clean Air/Clean Water Act."
1986,1026,4421,First polymer bank notes issued in Australia
1987,1040,4621,
1988,1054,4831,"3D Printing begins: 3D Systems (Charles Hull’s company) created the world’s first stereolithographic apparatus (SLA) machine, which made it possible to fabricate complex parts, layer by layer, in a fraction of the time it would normally take. That same year, startup DTM produced the world’s first selective laser sintering (SLS) machine—which shoots a laser at a powder instead of a liquid."
1989,1068,5051,
1990,1082,5282,
1991,1096,5524,"Patagonia working with R&D company Malden Mills, develop recycled polyester from PET bottles for use in our Synchilla fleece."
1992,1110,5778,
1993,1124,6044,
1994,1138,6323,
1995,1152,6616,"""Barbie Girl"" is a song by the Danish-Norwegian dance-pop group Aqua. ""Life in plastic, it's fantastic!"" It was released in May 1997"
1996,1166,6924,
1997,1180,7248,
1998,1194,7588,
1999,1208,7945,
2000,1222,8320,"Cradle-to-Cradle published by chemist Michael Braungart and architect William McDonough, urging designers to think about end-of-life of products, and the materials and additives in those products and their impact on human health and ecosystems. "
2001,1236,8715,
2002,1250,9130,
2003,1265,9566,"Open-source 3D printing: In 2005, Dr. Adrian Bowyer’s RepRap Project launched an open-source initiative to create a 3D printer that could basically build itself—or at least print most of its own parts. Its 2008 release, Darwin, is a self-replicating printer that’s able to do just that. Suddenly, people everywhere had the power to create whatever stuff they could dream up on their own (see also: Kickstarter, which launched in 2009 and has since crowdfunded countless 3D-printing-related projects)."
2004,1280,10025,
2005,1295,10508,San Francisco becomes the first U.S. city to institute a plastic bag ban.
2006,1310,11016,"A government study confirms that Bisphenol A, a chemical used to manufacture hard plastic bottles and the lining of baby-formula cans, may increase risks of early puberty, breast cancer, prostate issues and behavioral problems."
2007,1325,11551,"only 13% of one trillion single-use plastic bags produced were recycled, the rest were thrown away, which means they end up in landfills and because they are so lightweight end up in the atmosphere blown into the environment."
2008,1340,12115,
2009,1355,12709,3D printing starts to reach mainstream
2010,1370,13334,Ocean Cleanup project first presented by Boyan Slat
2011,1385,13993,"Precious Plastic launches first 4 small-scale plastic recycling machines to a community of local plastic craftspeople, the shredder, the extruder, the injection and the compression."
2012,1400,14688,The Netherlands becomes the first country to ban microbeads in cosmetics
2013,1415,15420,2015 -- 600 Billion LEGO parts produced
2014,1430,16192,Taylor et al. proved in 2016 that microplastics are already becoming integrated into deep-water organisms that live at depths between 300 and 1800 meters. All microplastics found in this study were microfibers4 . There is a considerable potential for large-scale accumulations of fibrous microscopic plastic debris5 .
2015,1445,17007,"Kenya bans plastic bags, making it one the most recent of the more than two dozen countries that have sought to reduce plastic bag use through fees or bans."
2016,1460,17866,"2018 -- Ellen MacArthur Foundation and UN sign up 290 companies  including Danone, H&M Group, L’Oreal, PepsiCo, The Coca-Cola Company, Unilever and Mars to commit to the ‘New Plastics Economy Global Commitment’ to ensure 100% of packaging can be safely reused, recycled, or composted by 2025"
2017,1475,18773,"Ocean Cleanup launched first pilot in June, after years of development and testing. "
2018,1490,19730,
2019,1505,20741,"Banning harmful single-use plastics as early as 2021 under the Canadian Environmental Protection Act and taking other steps to reduce plastic waste, where supported by scientific evidence and when warranted – and taking other steps to reduce plastic waste. The ban would reduce pollution from single-use plastic products and packaging – such as shopping bags, straws, cutlery, plates, and stir sticks"
2020,1521,21808,
2021,1537,22936,"The ban would reduce pollution from single-use plastic products and packaging – such as shopping bags, straws, cutlery, plates, and stir sticks"
2022,1553,24127,
2023,1569,25386,"290 companies who signed the ‘New Plastics Economy Global Commitment’ in 2018 achieve reuse, recycling or composting of 100% of packaging sold worldwide."
2024,1585,26717,
2025,1601,28125,
2026,1617,29614,
2027,1633,31189,
2028,1649,32856,50% reuse and recycling rate for plastics worldwide reached (McKinsey)
2029,1665,34620,
2030,1681,36488,
2031,1697,38466,
2032,1713,40562,
2033,1729,42783,
2034,1745,45137,
2035,1762,47632,
2036,1779,50278,
2037,1796,53085,
2038,1813,56063,
2039,1830,59224,
2040,1847,62580,
2041,1864,66144,
2042,1881,69929,
2043,1898,73951,
2044,1915,78225,
2045,1932,82769,
2046,1949,87601,
2047,1966,92741,
2048,1984,98210,The weight of plastic will overtake that of fish.
2049,2002,104031,This is the year 2049
2050,2020,110228,This is the year 2050
